,Company_Brand,Founded,HeadQuarter,What_it_does,Investor,Amount,Stage,Year,Num_of_Investors,Num_of_Founders,Sector,Currency,new_amount
1779,Instoried,2018.0,Bangalore,Instoried is an augmented writing platform which improves customer interest and engagement.,"EXPERT DOJO, Mumbai Angels",Undisclosed,Venture - Series Unknown,2021,2,2,Technology,Not Specified,28488165.70327553
1780,Rupifi,2019.0,Bangalore,Rupifi operates a software-as-a-service (SaaS) firm focussed on financial products.,Quona Capital,"$4,100,000",Series D,2021,1,1,FinTech,Dollars,4100000.0
1781,Moneyboxx,1994.0,Mumbai,Moneyboxx Finance provides easy access to financing to the deserving micro enterprises.,"Ashv Finance, BlackSoil Capital","$3,000,000",Venture - Series Unknown,2021,2,1,FinTech,Dollars,3000000.0
1782,CityMall,2019.0,Gurugram,CityMall is a social e-commerce platform that sells lifestyle and curated products via peer-to-peer referrals on WhatsApp.,"WaterBridge Ventures, SAIF Partners","$11,000,000",Series A,2021,2,2,E-Commerce,Dollars,11000000.0
1783,Janani,2020.0,Bangalore,Janani.ai is a fertility care provider.,"Sweta Rau, 9Unicorns Accelerator Fund","$1,000,000",Seed,2021,2,1,Automotive,Dollars,1000000.0
1784,ReshaMandi,2020.0,Bangalore,India's 1st award winning technology led digital ecosystem for Silk,"Omnivore, Strive Ventures","$1,700,000",Seed,2021,2,1,Technology,Dollars,1700000.0
1785,Bombay Shaving Company,2015.0,Delhi,"Bombay Shaving Company is a consumer goods company that focuses on developing a range of shave care, beard care, and skincare products.","Rajesh Sud, KULDEEP JAIN","$2,000,000",Series A,2021,2,4,Wellness/Beauty,Dollars,2000000.0
1786,DotPe,2019.0,Gurugram,DotPe is a technology start-up providing a commerce and payments platform to offline enterprise businesses.,"PayU, Google","$27,000,000",Series A,2021,2,3,FinTech,Dollars,27000000.0
1787,Homingos,2018.0,Bangalore,Homingos is an Augmented reality (AR)-based social networking platform.,"Sundi Natarajan, Srinivas Anumolu",Undisclosed,Pre-Seed,2021,2,3,Other,Not Specified,28488165.70327553
1788,Anar Business Community,2020.0,Mumbai,Anar is a communications and networking platform for businesses around the world.,"Titan Capital, First Cheque",Undisclosed,Series E,2021,2,2,Technology,Not Specified,28488165.70327553
1789,Five Star Finance,1984.0,Chennai,Five-Star is a Registered Non Banking Finance Company (NBFC) with Reserve Bank of India (RBI).,"TPG Capital Asia, Epiq Capital","$234,000,000",Venture - Series Unknown,2021,2,1,FinTech,Dollars,234000000.0
1790,Settlrs,2018.0,Bangalore,"A B2B rental services company for furniture, home appliances, electronic and IT infrastructure.",MaGEHold Pte. Ltd.,Undisclosed,Series C,2021,1,2,Logistics,Not Specified,28488165.70327553
1791,BYJU'S,2011.0,Bangalore,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,"BlackRock, Owl Ventures","$460,000,000",Series B,2021,2,2,Education,Dollars,460000000.0
1792,Annapurna Finance,2009.0,Bhubaneswar,Annapurna Microfinance is a microfinance venture that works for the financial and economic upliftment of underserved and unreached women.,"Asian Development Bank, Oman India Joint Investment Fund","$30,000,000",Seed,2021,2,1,FinTech,Dollars,30000000.0
